,"aluminium, primary, ingot","aluminium, primary, liquid","aluminium alloy, AlMg3","aluminium removed by milling, dressing","electricity, medium voltage, aluminium industry",hydraulic fracturing fluid,lubricating oil,"natural gas, low pressure",tap water,scrap aluminium,"aluminium oxide, metallurgical","nitrogen, liquid","sodium chloride, powder","wastewater, average","aluminium removed by drilling, conventional","aluminium removed by milling, dressing.1","aluminium removed by turning, average, conventional","aluminium removed by turning, primarily roughing, conventional","steel, chromium steel 18/8, hot rolled",waste aluminium,"aluminium removed by drilling, computer numerical controlled","aluminium removed by milling, large parts","aluminium removed by milling, small parts","aluminium removed by turning, primarily roughing, computer numerical controlled","electricity, high voltage, aluminium industry","electricity, high voltage, for internal use in coal mining","electricity, low voltage","electricity, medium voltage","electricity, medium voltage, label-certified","natural gas, high pressure","natural gas, medium pressure, vehicle grade","natural gas, liquefied","wire drawing, steel",nylon 6-6,glass fibre,"wire drawing, steel.1","impact extrusion of steel, cold, 3 strokes","impact extrusion of aluminium, 3 strokes",injection moulding,"steel, unalloyed",chromium steel pipe,scrap steel,"steel, low-alloyed, hot rolled","steel, low-alloyed","steel, chromium steel 18/8","chromium steel removed by drilling, conventional","steel removed by turning, primarily dressing, computer numerical controlled","chromium steel removed by milling, average"
122,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-ON","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CH",,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp flat-roof installation, single-Si | electricity, low voltage | Cutoff, S_RoW","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_ID",,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-QH","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-SK",,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-AB","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_UZ",,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_IT","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_AZ",,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_PT","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_KE",,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_MU","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_EC",,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CA-QC","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_JO",,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_NA","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_SK",,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,"heat and power co-generation, natural gas, 50kW electrical, lean burn | electricity, low voltage | Cutoff, S_CH","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_PH",,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-NB","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CA-NS",,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CA-ON","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_PT",,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_ID","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_IR",,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,"heat and power co-generation, natural gas, 160kW electrical, lambda=1 | electricity, low voltage | Cutoff, S_RoW","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_GT",,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_JM","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_XK",,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-XZ","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_NL",,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_MX","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_TM","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_UY",,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_TT","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_AL",,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CZ","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_FR",,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_DO","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_DK",,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_IE","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-NT",,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_BR-Southern grid","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_MM",,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-SA","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_TH",,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-SC","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_IT",,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_PL","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_US-RFC",,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_TH","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_LK",,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-HB","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_US-ASCC",,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CR","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CR",,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CG","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CA-NT",,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S_RNA","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_SG",,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_TZ","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_IN-North-eastern grid",,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S_US","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_IL",,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_BH","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_HR",,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-JS","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_US-SERC",,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_US-NPCC","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_HU",,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_AU","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_GH",,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_GR","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-AB",,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CU","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_BR-Northern grid",,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_SK","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_DE",,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_AT","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_IN-Southern grid",,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_ID","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-ON",,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_AR","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_DK",,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_TZ","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_SE",,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_GB","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_BH",,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_KR","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_AE",,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-NM","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_NP",,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_XK","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_ME",,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_US-ASCC","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_GB",,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, laminated, integrated | electricity, low voltage | Cutoff, S_CH","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CA-SK",,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_SG","electricity production, medium voltage, petroleum refinery operation | electricity, medium voltage | Cutoff, S_IN",,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_HR","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_SK",,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_IN-Eastern grid","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_US-MRO",,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-QC","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_SA",,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_MZ","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CA-MB",,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-HB","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_NG",,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp facade installation, multi-Si, laminated, integrated | electricity, low voltage | Cutoff, S_CH","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_JP",,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S_Canada without Quebec","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_GT",,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_US-SERC","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CM",,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-CQ","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_US-TRE",,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_SI","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_PE",,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, CIS, panel, mounted | electricity, low voltage | Cutoff, S_CH","electricity production, medium voltage, petroleum refinery operation | electricity, medium voltage | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_ZA","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CG",,,,,,,,,,,,,,,,,,,,
